date,market_location,commodity,min_price_pkr_per_40kg,max_price_pkr_per_40kg,avg_price_pkr_per_40kg,demand_status
10/14/2024,Lahore,Rice,1781,2158,1969,High
10/14/2024,Lahore,Maize,2013,2664,2338,High
10/14/2024,Lahore,Sugarcane,2318,2561,2439,High
10/14/2024,Multan,Vegetables,1424,2205,1814,High
10/14/2024,Faisalabad,Wheat,1923,2201,2062,High
10/14/2024,Faisalabad,Sugarcane,2469,2739,2604,High
10/14/2024,Karachi,Maize,1659,2207,1933,High
10/14/2024,Karachi,Cotton,1395,2066,1730,High
10/14/2024,Peshawar,Wheat,1114,1637,1375,High
10/14/2024,Peshawar,Maize,1613,2412,2012,High
10/14/2024,Peshawar,Cotton,1982,2651,2316,High
10/14/2024,Quetta,Sugarcane,2096,2644,2370,High
10/14/2024,Quetta,Vegetables,1152,1810,1481,High
10/21/2024,Lahore,Maize,1016,1788,1402,High
10/21/2024,Lahore,Cotton,1284,1914,1599,High
10/21/2024,Multan,Wheat,1499,2150,1824,High
10/21/2024,Multan,Rice,2206,2884,2545,High
10/21/2024,Multan,Maize,2221,2583,2402,High
10/21/2024,Faisalabad,Wheat,2084,2803,2443,High
10/21/2024,Faisalabad,Maize,2089,2525,2307,High
10/21/2024,Karachi,Rice,1537,2265,1901,High
10/21/2024,Karachi,Maize,2267,2925,2596,High
10/21/2024,Peshawar,Wheat,1753,2349,2051,High
10/21/2024,Peshawar,Maize,1256,1732,1494,High
10/21/2024,Quetta,Vegetables,1316,1700,1508,High
10/28/2024,Lahore,Wheat,1426,1914,1670,High
10/28/2024,Lahore,Maize,2318,2916,2617,High
10/28/2024,Lahore,Cotton,1019,1727,1373,High
10/28/2024,Multan,Sugarcane,1142,1664,1403,High
10/28/2024,Multan,Vegetables,2406,2772,2589,High
10/28/2024,Faisalabad,Wheat,1949,2272,2110,High
10/28/2024,Faisalabad,Maize,2190,2605,2397,High
10/28/2024,Karachi,Rice,2081,2818,2449,High
10/28/2024,Peshawar,Wheat,2215,2421,2318,High
10/28/2024,Peshawar,Maize,2241,2942,2591,High
10/28/2024,Quetta,Wheat,1932,2725,2328,High
10/28/2024,Quetta,Sugarcane,1554,2121,1837,High
10/28/2024,Quetta,Cotton,1022,1607,1314,High
11/4/2024,Lahore,Wheat,2440,3233,2836,High
11/4/2024,Lahore,Sugarcane,1310,1571,1440,High
11/4/2024,Faisalabad,Maize,1618,2207,1912,High
11/4/2024,Faisalabad,Sugarcane,1293,1718,1505,High
11/4/2024,Faisalabad,Vegetables,1569,2259,1914,High
11/4/2024,Karachi,Rice,1102,1543,1322,High
11/4/2024,Karachi,Maize,1933,2693,2313,High
11/4/2024,Karachi,Vegetables,2137,2747,2442,High
11/4/2024,Peshawar,Sugarcane,1613,1920,1766,High
11/4/2024,Peshawar,Vegetables,1759,2491,2125,High
11/4/2024,Quetta,Wheat,1482,1740,1611,High
11/4/2024,Quetta,Cotton,1122,1616,1369,High
11/4/2024,Quetta,Vegetables,1575,1884,1729,High
11/11/2024,Lahore,Wheat,1040,1744,1392,High
11/11/2024,Lahore,Maize,1484,1951,1717,High
11/11/2024,Multan,Rice,1878,2559,2218,High
11/11/2024,Multan,Cotton,1098,1323,1210,High
11/11/2024,Multan,Vegetables,1282,1696,1489,High
11/11/2024,Faisalabad,Maize,2121,2626,2373,High
11/11/2024,Faisalabad,Cotton,2290,2714,2502,High
11/11/2024,Karachi,Wheat,1070,1458,1264,High
11/11/2024,Karachi,Rice,1110,1727,1418,High
11/11/2024,Peshawar,Wheat,1851,2650,2250,High
11/11/2024,Peshawar,Maize,2158,2556,2357,High
11/11/2024,Peshawar,Sugarcane,1230,1461,1345,High
11/11/2024,Quetta,Wheat,2359,2860,2609,High
11/11/2024,Quetta,Vegetables,1429,2016,1722,High
11/18/2024,Lahore,Cotton,1723,2379,2051,High
11/18/2024,Lahore,Vegetables,2023,2429,2226,High
11/18/2024,Multan,Rice,1836,2134,1985,High
11/18/2024,Faisalabad,Wheat,1632,2010,1821,High
11/18/2024,Faisalabad,Vegetables,1649,2049,1849,High
11/18/2024,Karachi,Wheat,1839,2072,1955,High
11/18/2024,Karachi,Vegetables,1591,2324,1957,High
11/18/2024,Peshawar,Sugarcane,1343,1663,1503,High
11/18/2024,Quetta,Wheat,1284,1828,1556,High
11/25/2024,Lahore,Wheat,2026,2514,2270,High
11/25/2024,Multan,Wheat,2301,2726,2513,High
11/25/2024,Faisalabad,Rice,1833,2571,2202,High
11/25/2024,Faisalabad,Sugarcane,1492,2233,1862,High
11/25/2024,Faisalabad,Cotton,2261,2997,2629,High
11/25/2024,Faisalabad,Vegetables,1811,2016,1913,High
11/25/2024,Karachi,Vegetables,2315,2917,2616,High
11/25/2024,Quetta,Vegetables,1432,1703,1567,High
12/2/2024,Lahore,Vegetables,1582,2106,1844,High
12/2/2024,Multan,Cotton,1698,2404,2051,High
12/2/2024,Faisalabad,Sugarcane,1517,1983,1750,High
12/2/2024,Faisalabad,Cotton,1324,1730,1527,High
12/2/2024,Faisalabad,Vegetables,1233,1874,1553,High
12/2/2024,Karachi,Vegetables,2243,2755,2499,High
12/2/2024,Peshawar,Maize,2385,2626,2505,High
12/2/2024,Quetta,Rice,2455,3049,2752,High
12/2/2024,Quetta,Cotton,1582,2297,1939,High
12/9/2024,Lahore,Rice,1590,2201,1895,High
12/9/2024,Lahore,Maize,1745,2497,2121,High
12/9/2024,Multan,Wheat,1191,1606,1398,High
12/9/2024,Multan,Maize,1357,2029,1693,High
12/9/2024,Multan,Sugarcane,1988,2629,2308,High
12/9/2024,Faisalabad,Wheat,2026,2613,2319,High
12/9/2024,Faisalabad,Cotton,1211,1571,1391,High
12/9/2024,Faisalabad,Vegetables,2144,2644,2394,High
12/9/2024,Peshawar,Maize,1741,2496,2118,High
12/9/2024,Peshawar,Cotton,1319,1696,1507,High
12/9/2024,Peshawar,Vegetables,1120,1829,1474,High
12/9/2024,Quetta,Vegetables,1028,1282,1155,High
12/16/2024,Lahore,Wheat,2168,2844,2506,High
12/16/2024,Lahore,Maize,2028,2749,2388,High
12/16/2024,Lahore,Vegetables,1753,2097,1925,High
12/16/2024,Multan,Wheat,1986,2754,2370,High
12/16/2024,Faisalabad,Cotton,1084,1515,1299,High
12/16/2024,Karachi,Rice,1308,1561,1434,High
12/16/2024,Peshawar,Sugarcane,2348,2654,2501,High
12/16/2024,Quetta,Maize,2092,2537,2314,High
12/23/2024,Lahore,Cotton,2165,2646,2405,High
12/23/2024,Multan,Wheat,2275,2957,2616,High
12/23/2024,Multan,Maize,1332,2127,1729,High
12/23/2024,Faisalabad,Wheat,1834,2347,2090,High
12/23/2024,Faisalabad,Maize,2373,2870,2621,High
12/23/2024,Faisalabad,Cotton,2223,2513,2368,High
12/23/2024,Karachi,Wheat,2209,2737,2473,High
12/23/2024,Peshawar,Maize,1558,2097,1827,High
12/23/2024,Peshawar,Vegetables,1605,2117,1861,High
